North Yankton
4253.473, 5668.747
4253.473, 4189.803
2187.088, 4189.803
2187.088, 5668.747

Cayo Perico
4253.473, 5668.747
4253.473, 4189.803
2187.088, 4189.803
2187.088, 5668.747

Mount Chiliad
1398.020, 1143.957
1398.020, 1484.357
2091.818, 1484.357
2091.818, 1139.603
2417.061, 1139.603
2417.061, 1055.839
2350.407, 1055.839
2350.407, 943.239
2272.050, 943.239
2272.050, 742.870
2207.209, 742.870
2207.209, 707.844
2075.270, 707.844
2075.270, 664.753
1695.505, 664.753
1695.505, 684.855
1584.240, 684.855
1584.240, 724.545
1531.450, 724.545
1531.450, 776.476
1531.450, 776.476
1531.450, 802.298
1492.933, 802.298
1492.933, 1108.396
1155.217, 1108.396
1155.217, 1143.957

Vinewood Hills
969.519, 2824.479
778.892, 2824.479
778.892, 2896.129
1760.692, 2896.129
1760.692, 3070.907
1853.841, 3070.907
1853.841, 2986.115
1879.156, 2986.115
1879.156, 2961.405
1891.495, 2961.405
1891.495, 2951.713
1910.921, 2951.713
1910.921, 2935.815
1928.802, 2935.815
1928.802, 2915.688
1936.412, 2915.688
1936.412, 2910.688
1949.557, 2910.688
1949.557, 2896.129
1999.735, 2896.129
1999.735, 2849.241
2068.501, 2849.241
2068.501, 2758.501
2137.263, 2758.501
2137.263, 2572.754
1999.735, 2572.754
1999.735, 2444.262
1167.423, 2444.262
1167.423, 2391.286
1031.003, 2391.286
1031.003, 2584.959
969.519, 2584.959

Grand Senora Desert
1476.269, 2444.265
1999.731, 2444.265
1999.731, 2572.758
2225.615, 2572.758
2225.615, 2320.407
2200.047, 2320.407
2200.047, 2219.921
2217.215, 2219.921
2217.215, 2183.060
2232.212, 2183.060
2232.212, 2138.742
2291.089, 2138.742
2291.089, 2089.305
2431.494, 2089.305
2431.494, 1987.071
2458.282, 1987.071
2458.282, 1955.238
2536.995, 1955.238
2536.995, 1858.658
2288.373, 1858.658
2288.373, 1800.079
1979.086, 1800.079
1979.086, 1751.487
1661.686, 1751.487
1661.686, 1790.798
