North Yankton
7542.075, -7170.075
7542.075, -3108.105
1866.925, -3108.105
1866.925, -7170.075

Cayo Perico
7542.075, -7170.075
7542.075, -3108.105
1866.925, -3108.105
1866.925, -7170.075

Mount Chiliad
-300.183, 5257.415
-300.183, 4322.495
1605.275, 4322.495
1605.275, 5269.375
2498.525, 5269.375
2498.525, 5499.435
2315.465, 5499.435
2315.465, 5808.695
2100.265, 5808.695
2100.265, 6359.015
1922.185, 6359.015
1922.185, 6455.215
1559.825, 6455.215
1559.825, 6573.565
516.833, 6573.565
516.833, 6518.355
211.253, 6518.355
211.253, 6409.345
66.271, 6409.345
66.271, 6266.715
66.271, 6266.715
66.271, 6195.795
-39.513, 6195.795
-39.513, 5355.085
-967.021, 5355.085
-967.021, 5257.415

Vinewood Hills
-1477.025, 641.805
-2000.565, 641.805
-2000.565, 445.016
695.864, 445.016
695.864, -35.018
951.689, -35.018
951.689, 197.865
1021.215, 197.865
1021.215, 265.732
1055.105, 265.732
1055.105, 292.353
1108.455, 292.353
1108.455, 336.017
1157.565, 336.017
1157.565, 391.297
1178.465, 391.297
1178.465, 405.03
1214.565, 405.03
1214.565, 445.016
1352.375, 445.016
1352.375, 573.796
1541.235, 573.796
1541.235, 823.016
1730.085, 823.016
1730.085, 1333.175
1352.375, 1333.175
1352.375, 1686.085
-933.499, 1686.085
-933.499, 1831.585
-1308.165, 1831.585
-1308.165, 1299.655
-1477.025, 1299.655

Grand Senora Desert
-85.278, 1686.075
1352.365, 1686.075
1352.365, 1333.165
1972.735, 1333.165
1972.735, 2026.255
1902.515, 2026.255
1902.515, 2302.245
1949.665, 2302.245
1949.665, 2403.485
1990.855, 2403.485
1990.855, 2525.205
2152.555, 2525.205
2152.555, 2660.985
2538.165, 2660.985
2538.165, 2941.775
2611.735, 2941.775
2611.735, 3029.205
2827.915, 3029.205
2827.915, 3294.465
2145.095, 3294.465
2145.095, 3455.355
1295.665, 3455.355
1295.665, 3588.815
423.953, 3588.815
423.953, 3480.845
242.123, 3480.845
242.123, 3294.745
207.734, 3294.745
207.734, 3130.225
130.192, 3130.225
130.192, 3110.875
109.334, 3110.875
109.334, 3072.655
86.748, 3072.655
86.748, 2971.085
-85.278, 2971.085

Tataviam Mountains
1391.065, -1006.575
1485.925, -1006.575
1485.925, -812.049
1660.015, -812.049
1660.015, -560.578
2106.235, -560.578
2106.235, -446.452
2693.555, -446.452
2693.555, 4.975
2712.155, 4.975
2712.155, 104.703
2818.345, 104.703
2818.345, 445.016
2917.775, 445.016
2917.775, 468.987
2944.875, 468.987
2944.875, 495.898
2974.145, 495.898
2974.145, 581.47
2957.895, 581.47
2957.895, 826.964
2767.065, 826.964
2767.065, 1175.215
3064.065, 1175.215
3064.065, 1256.025
2452.965, 1256.025
2452.965, 1175.225
2129.615, 1175.225
2129.615, 1280.545
2047.555, 1280.545
2047.555, 1355.645
1972.725, 1355.645
1972.725, 1333.175
1730.075, 1333.175
1730.075, 823.026
1541.225, 823.026
1541.225, 573.806
1352.365, 573.806
1352.365, 445.026
1306.685, 445.026
1306.685, -178.018
1391.065, -178.018

San Chianski Mountain Range
3106.755, 3039.725
3106.755, 2660.985
3339.405, 2660.985
3339.405, 2741.285
3387.995, 2741.285
3387.995, 2771.485
3459.195, 2771.485
3459.195, 2819.205
3575.765, 2819.205
3575.765, 3039.725
3757.415, 3039.725
3757.415, 3159.725
3840.915, 3159.725
3840.915, 3294.455
3880.105, 3294.455
3880.105, 3416.095
3960.535, 3416.095
